Name,Mate,Degree,Description,Continuity,Combo,Type
Grazed,Shot,Minor,"-1 to Physical tests. 
Discard on a Physical success. ",,,Injury
Shot,Grazed,Major,"-2 to Physical tests. Counts as 2 Injury cards. Trade for “On the Mend” as recipient of Difficulty 6 First Aid success. 
If still in hand at end of scenario, you succumb to your injuries and die.",,,Injury
Thrown Free of the Explosion,In the Blast Radius,Minor,"-1 to Physical tests. 
When you receive this card, and at every subsequent interval, roll a die. Even: discard.",,,Injury
In the Blast Radius,Thrown Free of the Explosion,Major,"-2 to Physical tests. Counts as 2 Injury cards. Trade for “On the Mend” as recipient of Difficulty 6 First Aid success.
If still in hand at end of scenario, trade for “Permanent Injury.”",,,Injury
Mostly Resistant,Find the Antidote,Minor,"You can’t spend Health points on tests. 
At the end of each interval, roll a die. Even: discard.",,,Injury
Find the Antidote,Mostly Resistant,Major,"If scenario ends with this card still in hand, you die.
Discard by finding the antidote. ",,,Injury
It Looks Worse Than It Is,Broken Fingers,Minor,"Upon seeing you for the first time after the incident that saddled you with this card, any other PC loses 1 Composure.
Discard after 6 hours world time.",,,Injury
Broken Fingers,It Looks Worse Than It Is,Major,"Nonlethal. -2 to non-Presence tests. Penalty drops to -1 as recipient of Difficulty 4 First Aid success.
Penalty drops by 1 if in hand at start of session.
Discard when penalty equals 0.",,,Injury
Through the Ringer,Breaking Point,Minor,"+1 to Tolls. 
Other PCs take -1 Composure penalties while in sight of you.
Trade for “Black and Blue” as recipient of Difficulty 5 First Aid success.",,,Injury
Breaking Point,Through the Ringer,Major,"+2 to Tolls.
For the next six hours of world time, other PCs take -2 Composure penalties while in sight of you.
After six hours world time, trade for the Injury card “Black and Blue” and the Shock card “They Broke You.”",,,Injury
Contused,Crushed,Minor,"-1 to Physical tests. 
Discard on a Physical success.",,,Injury
Crushed,Contused,Major,"-2 to Physical tests. Counts as 2 Injury cards. As recipient of Difficulty 5 First Aid success, trade for “Black and Blue.”",,,Injury
Black and Blue,Badly Beaten,Minor,"+1 to Tolls. 
Discard when you take a major Injury.",,,Injury
Badly Beaten,Black and Blue,Major,"+2 to Tolls.
After two intervals, trade for “Black and Blue” as recipient of Difficulty 4 First Aid success.",,,Injury
Glass Shards,Direct Chandelier Hit,Minor,"-1 on your next Physical test. 
Any time after that test, discard with a Difficulty 3 Health success.",,,Injury
Direct Chandelier Hit,Glass Shards,Major,"-2 on Physical tests, -1 on any other tests. 
After you fail a test and receive a Difficulty 5 First Aid success, trade for “Glass Shards.”",,,Injury
Lingering Cough,Scarred Lungs,Minor,"Lose 1 Health point (if available) every time you test a non-Focus ability. 
At the end of any interval, roll a die. Even: discard.",,,Injury
Scarred Lungs,Lingering Cough,Major,"Lose 2 Health points and 1 Fighting and 1 Riding point (as available) every time you test an ability other than Preparedness. 
At the end of scenario, roll a die. On a 1, this becomes a Continuity card.",,,Injury
Warm Blanket Needed,Ravaged By the Elements,Minor,"If you don’t get to a warm, dry place by the end of the next Interval, you are unable to spend Health points for the following two hours of world time. 
Discard after two hours of world time.",,,Injury
Ravaged By the Elements,Warm Blanket Needed,Major,"Your Health pool drops to 0. 
After 2 hours of table time, roll a die.
Even: discard. Odd: trade for “Badly Hurt.”",,,Injury
Fall to Street Level,Hard Landing,Major,"-1 to Physical and Presence. 
As recipient of an immediate Difficulty 5 First Aid success, discard at end of interval.",,,Injury
Snakebit,Deadly Venom,Minor,"Unless you receive a Difficulty 4 First Aid success before end of interval, trade for the “Deadly Venom.”",,,Injury
Deadly Venom,Snakebit,Major,"-2 to all tests (except Preparedness.) Counts as 2 Injury cards.
Spend 3 Health to trade for “Badly Hurt.” You may do this even if would otherwise be your Final card.",,,Injury
Whiff of Cyanide,Snootful of Cyanide,Minor,"-1 to Physical tests. Health drops to 0. 
On a Physical success, refresh Health and discard this card.",,,Injury
Snootful of Cyanide,It’s a Miracle You’re Alive,Major,-1 to Physical tests. You can’t discard Injury cards.,,,Injury
It’s a Miracle You’re Alive,Massive Injuries,Minor,"-1 to Physical tests. 
After a Physical failure, roll a die. Even: trade for Shock card “Rattled.”",,,Injury
Massive Injuries,It’s a Miracle You’re Alive,Major,"Counts as 2 Injury cards. Until end of interval you can’t make tests. Thereafter, -2 to Physical and -1 to Focus tests.
If scenario is not over at end of session, trade for “On the Mend.”",,,Injury
Still Hurting,,Secondary,Discard on a Physical success with a Margin greater than 1. ,,,Injury
On the Mend,,Secondary,-1 to all tests. Trade for “Still Hurting” on a Physical success.,,,Injury
Permanent Injury,,Secondary,[No text],Continuity,,Injury
Dazed,,Secondary,"-1 to all tests. 
Discard at end of session.",,,Injury
Jarred,,Secondary,Discard at end of session.,,,Injury
Precarious Recovery,,Secondary,"-1 to Physical tests. 
On a Physical failure, roll a die. Odd: Trade for you traded this card for.
Discard on a Physical success with a margin of 3 or more.",,,Injury
Badly Hurt,,Secondary,-1 to Physical and Focus tests.,,,Injury
Draggy,,Secondary,"Choose one general ability type: Focus, Physical, or Presence. -1 to tests of that type.
After any failure, discard if you have no other non-Continuity Shock or Injury cards.",,,Injury
Choked,Throttled,Minor,"Lose 2 Health. +1 to Tolls for rest of scenario, even after this card is discarded.
Discard after one interval.",,,Injury
Throttled,Choked,Major,"Lose 2 Health.
On or after one interval, trade for “Choked” as recipient of Difficulty 4 First Aid success.",,,Injury
Cudgel Blow,A Thorough Thrashing,Minor,"-1 to Physical tests.
At each new interval, roll a die. Odd: -1 to Focus until next interval. Even: discard.",,,Injury
A Thorough Thrashing,Cudgel Blow,Major,"-1 to Physical and Focus. 
On or after two intervals, trade for “Black and Blue” as recipient of Difficulty 5 First Aid success.",,,Injury
Broken Bone,,Minor,"-2 to all tests. Lose 1 Health each time you make a Physical test.
After 2 Intervals, as recipient of a Difficulty 4 First Aid success, trade for “On the Mend.”",,,Injury
Stab Wound,Slashed Throat,Minor,"-1 to Physical and Focus. 
Discard after a Physical or Focus success.",,,Injury
Slashed Throat,Stab Wound,Major,"You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out. As recipient of a Difficulty 5 First Aid success, trade for “Stab Wound.”",,,Injury
Shot,"Not a Significant Bullet
(a Shock card)",Major,"-2 to Physical tests. Counts as 2 Injury cards. Trade for “On the Mend” as recipient of Difficulty 6 First Aid success. 
If still in hand at end of scenario, you succumb to your injuries and die.",,,Injury
Laceration,Flesh Wound,Minor,"When called on to make a Physical test, you may choose to take a -2 penalty on the test and then discard this card.",,,Injury
Flesh Wound,Laceration,Major,-1 to non-Focus tests. Trade for “Laceration” after any non-Focus success.,,,Injury
Stolen Years,Stolen Decades,Minor,Roll a die. Odd: permanently lose 1 point from your Health rating.,,,Injury
Stolen Decades,Stolen Years,Major,"At the beginning of each scenario, pay a toll of 3.
If this is your only injury card at the end of a scenario, roll a die. Even: discard.",Continuity,,Injury
Bitten,"Atavistic Terror of an Animal Attack
(a Shock card)",Major,"-1 on Physical tests. 
To discard, receive a Difficulty 4 First Aid success, then make a Physical test.",,,Injury
Gargoyle Strike,Crushing Gargoyle Strike,Minor,"-1 to Physical and Focus.
At end of any interval, roll a die. Even: discard.",,,Injury
Crushing Gargoyle Strike,Gargoyle Strike,Major,"-2 to Physical and Focus.
After two intervals, trade for “Gargoyle Strike.” ",,,Injury
Dragon Claw,Dragon Bite,Minor,"-1 to Physical tests.
Discard on a Physical success with a margin greater than 2.",,,Injury
Dragon Bite,Dragon Claw,Major,"If you have no other Injury cards when you receive this, counts as 2 Injury cards.
If still in hand at end of scenario, you die.
Trade for “On the Mend” as recipient of Difficulty 5 First Aid success.",,,Injury
You Should See the Other Fellow,Concussed,Minor,"Nonlethal. You can’t make Interpersonal Pushes. 
Discard after 24 hours of world time, or when you gain another Injury, whichever comes first.",,,Injury
Concussed,You Should See the Other Fellow,Major,"You can’t make Pushes. 
Discard after 48 hours of world time.",,,Injury
Steam-Drill Heart,Apoplexy,Minor,"Lose 1 Health on any Physical success and 2 Health on any Physical failure.
Discard by going for 3 intervals without making a Physical test.",,,Injury
Apoplexy,Steam-Drill Heart,Major,"All Physical pools drop to 0. 
-2 to tests. 
Trade for “On the Mend” as recipient of an immediate Difficulty 6 First Aid success or after 24 hours (world time) convalescing in hospital.",,,Injury
Soul Swipe,Yellow Doom,Minor,"As recipient of dream command from the Yellow King, you must obey it, or gain the card “Yellow Doom.”",,Combo,Injury
Yellow Doom,Soul Swipe,Major,"If still in hand after twenty four hours (world time), your character dies. 
Discard by striking a significant blow against the forces of Carcosa.",Continuity,Combo,Injury
The Final Pallor,"He Ripped Out Your Heart, Showed It To You, Then Stuffed It Back In",Minor,"-1 to all tests. 
When you strike a significant blow against the forces of Carcosa, roll a die. Even: discard.",,Combo,Injury
"He Ripped Out Your Heart, Showed It To You, Then Stuffed It Back In",The Final Pallor,Major,"-2 to tests. For the rest of this scenario, starting with the scene after the one in which you received this card, counts as two Injuries and two Shocks. 
Discard by participating in a fight against the Yellow King that routs or thwarts him.",Continuity,Combo,Injury
Carcosan Dagger,Carcosan Rapier,Minor,"-1 to Physical tests.
Discard if the entity responsible for your taking this card is destroyed.",,,Injury
Carcosan Rapier,Carcosan Dagger,Major,"-2 to Physical tests.
Discard if the entity responsible for your taking this card is destroyed.",,,Injury
Muzzy Headed,Heavily Sedated,Minor,"Lose 1 point from all Presence pools. At end of next interval, regain those points and discard this card.",,,Injury
Heavily Sedated,Muzzy Headed,Major,"Roll a die. You remain unconscious for that number of hours (world time). If all characters get this card, they all wake up, confined and in a bad situation.
When you wake up, trade for “Muzzy Headed.”",,,Injury
Scratched Psyche,Poisoned Psyche,Minor,"-1 to Focus tests. 
Discard as recipient of an Occultism spend, or by taking a risk / paying a cost to locate a healing incantation in a rare grimoire.",,,Injury
Poisoned Psyche,Scratched Psyche,Major,"You can’t discard Shock cards.
Discard by discovering and successfully performing the ritual that permanently kills the entity that did this to you.
At end of scenario, roll a die. 1-2: becomes a Continuity card.",,,Injury
Clawed,Eviscerated,Minor,"-2 to all tests. 
Trade for “On the Mend” on any Physical success. ",,,Injury
Eviscerated,Clawed,Major,"Counts as 2 Injuries. You can't make Physical tests. 
After 6 hours of world time, trade for ""On the Mend” as recipient of Difficulty 6 First Aid success. After 12 hours of world time Difficulty of that test drops to 4.",,,Injury
Head Butt,Curb Stomped,Minor,"10 minutes (world time) after the fight, roll a die. Even: discard. Odd: trade for “Concussed.”",,,Injury
Curb Stomped,Head Butt,Major,"-3 to all tests. 
After 24 hours of world time, trade for “Cracked Skull.”",,,Injury
Cane Blow,Sword Cane Stab,Minor,"At each new interval, roll a die. Even: discard.",,,Injury
Sword Cane Stab,Cane Blow,Major,"Lose 1 Health each time you make a Physical test.
Discard as recipient of Difficulty 4 First Aid success.
If still in hand at end of scenario, roll a die. Odd: you die.",,,Injury
Sedated,Muzzy-Headed,Major,"Lose 2 points from all Presence pools. You wake up three hours later in a place and circumstance of the foe’s choosing, at which point you discard this card.",,,Injury
Strong Armed,Restrained,Minor,"Lose 1 Athletics and 1 Fighting. 
At next interval, regain those points and discard this card.",,,Injury
Restrained,Strong Armed,Major,"Your foes succeed in rendering you helpless. -1 to Physical tests.
When you are no longer helpless and fail a Physical test, discard.",,,Injury
Picked Up and Thrown Hard,Monstrous Battering,Minor,"Lose 2 Health and 2 Composure. 
Discard after half an hour (world time.)",,,Injury
Monstrous Battering,Picked Up and Thrown Hard,Major,"-2 to Physical tests. Counts as 2 Injury cards. 
Trade for “On the Mend” as recipient of Difficulty 6 First Aid success. 
If still in hand at end of scenario, trade for “Permanent Injury.”",,,Injury
Impressive Yet Superficial Cut,Arterial Spray,Minor,"+1 to Presence tests. (Yes, +1.)
Spend 2 Health to trade any other non-Continuity Injury you hold for “On the Mend.” Spend 2 Health to discard.",,,Injury
Arterial Spray,Impressive Yet Superficial Cut,Major,"If your Health exceeded 4 when you took this injury,-1 to Physical tests. Otherwise, -2 to Physical tests. 
Discard as recipient of Difficulty 4 First Aid success.",,,Injury
Ghost Fire,Singed,Major,"Make a Difficulty 4 Composure test when you get this card. On a failure, it is also a Shock card.
-2 on Physical tests and -1 on all other tests until next interval. For following interval, -1 to Physical tests. At end of that interval, discard.",,,Injury
Blow to the Head,Ringing Cranium,Minor,-2 to Sense Trouble.,,,Injury
Ringing Cranium,Blow to the Head,Major,"-2 to Focus and Presence; -1 to Physical tests.
After four hours of world time, trade for “Blow to the Head.”",,,Injury
Sawed Flesh,"The Shudders
(Shock card)",Major,Roll a die; lose that number of Athletics points. Discard as recipient of a Difficulty 5 First Aid success.,,,Injury
Fearsome Gut Punch,Broken Jaw,Minor,"-2 to Physical and Focus until end of interval. -1 until subsequent interval. Then roll a die. Even: discard. If not then discarded, keep trying at each new interval.",,,Injury
Broken Jaw,Fearsome Gut Punch,Major,-2 to Physical and Focus tests. You can’t make Interpersonal Pushes. Trade for “On the Mend” as recipient of Difficulty 5 First Aid success.,,,Injury
Roughed Up,Sucker Punched,Minor,"Lose 1 Composure. 
Discard after any Physical success, or by spending 1 Athletics.",,,Injury
Sucker Punched,Roughed Up,Major,"Lose 2 Health. 
Roll a die; discard after that number of successes.",,,Injury
Scratched,Throat Punctures,Minor,"Discard as recipient of successful Difficulty 5 First Aid success. After one interval, test Difficulty drops to 3.",,,Injury
Throat Punctures,Scratched,Major,"Health pool drops to 0. -2 to Focus tests. After two intervals, trade for “Scratched” by spending 2 Composure.",,,Injury
Venomous Fangs,"Snakes, Our Oldest Fear
(Shock card)",Major,Roll a die; lose that number of Health points. -2 on Physical tests. Discard as recipient of a Difficulty 5 First Aid success. Difficulty increases to 7 if your Health is 0.,,,Injury
Undead Thrashing,Monstrous Mauling,Minor,"When the walking corpse(s) is / are killed, roll a die. Even: trade for the Injury card “Jarred.” Odd: trade for the Shock card “The Tremors.” ",,Combo,Injury
Monstrous Mauling,Undead Thrashing,Major,"-1 to tests. 
Trade for “Still Hurting” by paying a price or overcoming a relevant obstacle. 
If still in hand at end of scenario, gain the card “Permanent Injury.”",,Combo,Injury
Yeth Bite,Yeth Mauling,Minor,"-1 to Focus tests.
Discard when you take part in a fight ending in defeat for the sender of the Yeth-Hound.",,,Injury
Yeth Mauling,Yeth Bite,Major,"-1 to tests. 
Trade for “Still Hurting” when you take part in a fight ending in defeat for the sender of the Yeth-Hound.",,,Injury
Pinned by Debris,"Beside Yourself
[Shock]",Major,"As immediate recipient of a Difficulty 5 Athletics test, trade for “Beside Yourself.” Otherwise your Health pool drops to 0 and -1 to Physical tests. 
Discard at end of session.",,,Injury
Your Lucky Charm Caught a Bullet,Perforated,Minor,"At end of interval, discard and make Difficulty 4 Composure test. Failure: take the Shock card “Cortisol Spike.” Success: refresh Composure. ",,,Injury
Perforated,Your Lucky Charm Caught a Bullet,Major,"-1 to Physical tests. 
As recipient of Difficulty 5 First Aid success, roll a die. Odd: trade for “Patched Up.” Even: discard.",,,Injury
Caked in Ash,Three Inches to The Left and You’d Be Dust,Minor,"Make a Difficulty 4 Composure test, or also gain “Shell-Shocked.”
If your Health pool is greater than 3, discard at end of interval. Otherwise, discard as recipient of Difficulty 3 First Aid test.",,,Injury
Three Inches to The Left and You’d Be Dust,Caked in Ash,Major,"-1 to tests. Also gain “Shell-Shocked.” 
After one or more intervals, discard as recipient of Difficulty 4 First Aid success.",,,Injury
Flying Leap,Flaming Debris,Minor,"-1 on your next Physical test.
Any time after taking that penalty, pay 1 Athletics to discard.",,,Injury
Flaming Debris,Flying Leap,Major,"-1 to Composure, Fighting, and Battlefield tests. 
Any time after failing a test of any of those abilities, discard as recipient of a Difficulty 5 First Aid test.",,,Injury
Muscle Cramps,Rapid Dehydration,Minor,"-1 to tests.
After any failure, you may roll a die, paying Health equal to the result to discard. If the result exceeds your available Health, trade for “Rapid Dehydration.”",,,Injury
Rapid Dehydration,Muscle Cramps,Major,"Your Health drops to 0.
Trade for “Dazed” as recipient of Difficulty 4 First Aid success. 
If still held at end of scenario, you die.",,,Injury
Hunger,Respiratory Failure,Minor,"-1 to Physical and Focus tests.
Discard by eating a meal.",,,Injury
Respiratory Failure,Hunger,Major,"-2 to Physical tests.
After eating a meal, make a Difficulty 6 Health test. On a success, trade for “Hunger.” On a failure, trade for “Permanent Injury.”",,,Injury
Unwell,Dysentery,Minor,"Lose 1 Health. At the end of each interval, roll a die. Odd: lose 1 Health.
Discard as recipient of Difficulty 3 First Aid success.",,,Injury
Dysentery,Unwell,Major,"Lose 2 Health and 1 point from every other Physical pool.
As recipient of a Difficulty 4 First Aid success, roll a die. Even: discard. Odd: trade for “Unwell.”",,,Injury
Confusion,Gangrene,Minor,"-1 to Focus tests.
Trade for “Gangrene” if not removed from exposing conditions within 10 minutes (world time).",,,Injury
Gangrene,Confusion,Major,"Counts as 2 Injury cards.
Trade for “Permanent Injury” as recipient of Difficulty 5 First Aid success. ",,,Injury
Sore Throat ,Influenza,Minor,"Non-lethal. Lose 1 Health.
At end of each interval, roll a die. On a 1, trade for “Influenza.” On a 5 or higher, discard.",,,Injury
Influenza,Sore Throat ,Major,"-2 to Physical tests, -1 to other tests.
At end of any interval, you may pay 1 Health and roll a die. On a 5 or 6, trade for “Sore Throat.” If you ever get a result of 1 on this roll, and still have this card at end of scenario, you die.",,,Injury
Shredded Flesh,“Am I Still in One Piece?”,Minor,"To spend points on any Athletics, Fighting, or Battlefield test, you must also spend 1 Health point. 
Discard as recipient of Difficulty 4 First Aid success.",,,Injury
“Am I Still in One Piece?”,Shredded Flesh,Major,"You can’t make Physical tests. -1 to Focus tests. You can’t walk. 
Trade for “Shrapnel” as recipient of a Difficulty 5 First Aid success.",,,Injury
Bruised While Taking Cover,Sprayed,Minor,"Discard by spending 1 point of Health, Fighting, or Battlefield, or as recipient of 1-point First Aid spend.",,,Injury
Sprayed,Bruised While Taking Cover,Major,"-2 to Physical tests. 
As recipient of Difficulty 7 First Aid success, roll a die. Even: trade for “Patched Up.” Odd: trade for “Shot Up Good.”
If still held at end of scenario, you succumb to your injuries and die.",,,Injury
Winded,Exhausted,Minor,"Non-lethal. -1 to Physical tests.
Discard after an hour’s rest (world time).",,,Injury
Exhausted,Winded,Major,"-2 to Physical tests.
Discard when the squad Hunkers Down, or trade for “Winded” as recipient of a Difficulty 4 Scrounging success. Scrounger must describe the scrounged item that revives you.",,,Injury
Ringing Ears,Hurled and Scorched,Minor,"-1 to Focus tests. 
After one interval, make a Difficulty 4 Health test to discard. If you fail, you can retry as needed at the end of any interval.",,,Injury
Hurled and Scorched,Ringing Ears,Major,"Roll a die. Even: lose 2 Health and 1 Athletics. Odd: lose 1 Health and 2 Athletics. 
Discard as recipient of a Difficulty 4 First Aid success, or after two intervals.",,,Injury
Light-Headed,Lung Damage,Minor,"-1 to Physical and Focus tests. At end of interval, make a Difficulty 5 Health success to discard. You may attempt again at each subsequent interval, with Difficulty dropping by 1 each time.",,,Injury
Lung Damage,Light-Headed,Major,"-2 to Physical tests, -1 to Focus tests.
At end of scenario, make a Difficulty 5 Health test. Success: discard. Failure: this becomes a Continuity card.",,,Injury
Shark Bite,"Those Telltale Fins
[Shock]",Major,"Roll a die: add the result to the margin of the test to avoid this hazard. Lose that number of Health points.
Trade for “Patched Up” as recipient of Difficulty 5 First Aid success.",,,Injury
Bleary,Dead on Your Feet,Minor,"-1 to tests.
Discard by getting ten hours sleep (world time).",,,Injury
Dead on Your Feet,Bleary,Major,"-2 to tests.
At the end of each interval, make a Difficulty 5 Health check. Failure: you lose consciousness, regaining it only after three hours or if forcefully awakened.
Trade for “Bleary” by getting six hours sleep (world time).",,,Injury
Through and Through,Bruised While Taking Cover,Major,"-1 to next Physical test, after which roll a die. Even: discard. Odd: trade for “Impediment.”",,,Injury
Sub-Sonic Thrum,Sub-Sonic Disruption,Minor,"-1 to Composure and Battlefield tests.
Discard on a salient Composure or Battlefield failure, or after one hour (world time).",,,Injury
Sub-Sonic Disruption,Sub-Sonic Thrum,Major,"Injury
-2 to Composure and Battlefield tests.
After one hour of world time, discard on a Difficulty 4 Health success. You may retry the test once per interval.",,,Injury
Rapid Heartbeat,Light-Headed,Minor,"-2 to Physical tests.
On a Difficulty 4 First Aid success, roll a die. Even: trade for “Light-Headed.” Odd: trade for “Recovering.”",,,Injury
Tetanic Fever,Lockjaw,Major,"-1 to Physical tests.
At end of any interval, you may pay 2 Health and roll a die. Even: discard. Odd: trade for “Lockjaw.” ",,,Injury
Lockjaw,Tetanic Fever,Minor,"-2 to Physical tests.
At end of any interval, you may pay 3 Health and roll a die. On a result higher than 1, discard. On a result of 1, you die.",,,Injury
Agony of Thirst,Kidney Failure,Major,"-1 to Physical tests.
Discard by slowly drinking a full serving of any non-dehydrating beverage.",,,Injury
Kidney Failure,Agony of Thirst,Minor,"Counts as 2 Injury cards.
After taking the opportunity to slowly drink any non-dehydrating beverage, roll a die. Odd: trade for “Permanent Injury.” Even: trade for “Recovery.”",,,Injury
Necrotic Tissue,Gangrene,Minor,"Lose 1 Health each time you walk for more than half a mile.
Discard on a Difficulty 3 First Aid success and a 1-point Health spend. You may make the test yourself or receive it.",,,Injury
Scuffed Up,Torn Ligament,Minor,"Your next Physical test takes a penalty of 1.
Discard after that test.",,,Injury
Torn Ligament,Scuffed Up,Major,"-2 to Physical tests. 
Trade for “Impediment” when you fail a Physical test.",,,Injury
Discourager Graze,Discourager Hit,Minor,"-1 to Fighting, Battlefield, and Composure tests while behind enemy lines.
If behind allied lines, spend 1 Composure to discard.",,,Injury
Discourager Hit,Discourager Graze,Major,"-2 to Fighting, Battlefield, and Composure tests while behind enemy lines.
If behind allied lines, trade for “Patched Up” as recipient of Difficulty 5 First Aid success. 
If still held at end of scenario, you go into cardiac arrest and die.",,,Injury
Quisling Graze,Quisling Hit,Minor,"-1 to Fighting, Battlefield,  and Composure tests.
Discard by using force against a superior. If superior expects the attack, roll a die after completing it. Odd: do not discard.",,,Injury
Quisling Hit,Quisling Graze,Major,"-2 to Fighting, Battlefield, and Composure tests. 
Trade for “Patched Up” as recipient of Difficulty 5 First Aid success, after using force against a superior who has not assented to the attack.
If still held at end of scenario, you have a brain aneurysm and die.",,,Injury
Suppurator Graze,Suppurator Hit,Minor,"You can’t discard Injury cards.
At end of each interval, any PC who can see you loses 1 Composure.
Discard as recipient of Difficulty 3 First Aid success.",,,Injury
Suppurator Hit,Suppurator Graze,Major,"You can’t discard Injury cards.
At end of each interval, any PC who can see you loses 1 Composure.
Discard as recipient of Difficulty 4 First Aid success. At start of following interval, you gain “Suppurator Graze.”
If still held at end of scenario, you die.",,,Injury
White-Sky Graze,White-Sky Hit,Minor,"-2 Fighting vs. Carcosans. -1 Fighting vs. Warspawn.
Discard as recipient of Difficulty 7 First Aid success. Difficulty drops to 3 after fighting a Carcosan or Warspawn.",,,Injury
White-Sky Hit,White-Sky Graze,Major,"-2 Fighting vs. Carcosans and Warspawn.
As recipient of Difficulty 6 First Aid success, discard (if you fought a Carcosan or Warspawn after taking this Injury) or trade for “White-Sky Graze” (if you didn’t).",,,Injury
Hit Bad,"Shell-Shocked
[Shock]",Major,"-2 to Physical tests.
Spend 2 Health to trade for “Shell-Shocked” and “Patched Up.” Spend 4 Health to trade for your choice of either.",,,Injury
Tentacle Lash,Squid Bite,Minor,"Lose Health equal to your margin on the Battlefield test +1.
Discard after two intervals on shore.",,,Injury
Squid Bite,Tentacle Lash,Major,"Roll a die: add the result to the margin of the test to avoid this bite. Lose that number of Battlefield points.
Trade for “Cough, Choke, Splutter” on a Difficulty 4 First Aid success, received during the current interval. If received later, trade for “Recovering.”",,,Injury
Splinter,Struck by Wood Debris ,Minor,"Non-lethal. -1 to Physical tests.
After a Physical failure, spend 1 Health to discard.",,,Injury
Struck by Wood Debris ,Splinter,Major,"-2 to Physical tests. 
As recipient of a Difficulty 5 First Aid success, roll a die. Even: trade for “Splinter.” Odd: trade for “Patched Up.”",,,Injury
Blurred Vision,Circulatory Damage,Minor,"-1 to tests. 
Discard as recipient of Difficulty 5 First Aid success, conducted by a character with access to the antidote.",,,Injury
Circulatory Damage,Blurred Vision,Major,"-1 to Physical tests.
For the first three hours (world time) after getting this card, gain “Blurred Vision” on any Physical failure.",Continuity,,Injury
"Shrapnel’s Sharp, Water’s Hard",Into the Drink,Minor,"-1 to Focus tests.
Discard as recipient of Difficulty 4 Scrounging success. Scrounger must describe the found item that restores you.",,,Injury
Into the Drink,"Shrapnel’s Sharp, Water’s Hard",Major,"At end of scene, if you have less than 3 Battlefield points, trade for “Cough, Choke, Sputter.” Otherwise, discard.",,,Injury
Convulsions,Internal Bleeding,Minor,"-2 to Physical tests, -1 to other tests. You can’t make Pushes.
Discard by spending 3 Health or as recipient of Difficulty 5 First Aid success.",,,Injury
Internal Bleeding,Convulsions,Major,"-2 to Physical tests.
After one hour of world time, you must become recipient of a Difficulty 6 First Aid success. If so, trade for “Convulsions.” If not, you die.",,,Injury
Rifle Hit,Bruised While Taking Cover,Major,"-2 to Physical tests. 
Trade for the card “Patched Up” as recipient of Difficulty 5 First Aid success.
If still held at end of scenario, you succumb to your injuries and die.",,,Injury
Roasted,Burned,Major,"-2 to tests. 
As recipient of Difficulty 6 First Aid success, trade for “Burned.”",,,Injury
Slammed Against the Hull,Into the Depths,Minor,"-1 to Physical tests.
Discard after two salient Physical failures.",,,Injury
